word_id	morphology	lemma_source	lemma_ipa	definition
1		аба'далIи	a-b-a'-d-a-t͡ɬː-i	 вечный; нескончаемый; *абадалIи чIили* загробный мир (_букв._ вечный дом); _ратл._ *абадайлIи*, _цег._ *абадаб*
2	(-ролIи)	а/б/а'жве	a-b-a'-ʒʷ-e	общительность; *абажве голъIа аᴴде* необщительный (_букв._ общительность не имеющий) человек; *вац̄и-логе акьеге иᴴкIабе абажве бикIири* братья между собой очень дружны, общительны (_букв._ между братьями большая общительность); _ратл._ *абажвери*, _тлян._ *гьажер*
3	(абажвари', аба-жу'ва, абажва', абажве̄'гье, абажве'ре)	а/б/ажу'рулъIа	a-b-a-ʒ-u'-r-u-t͡ɬ-a	1) общаться; поддерживать отношения; *чес̄уга-че абажвӣгьи бакIурулъIа* общаться, поддерживать отношения между собой 2) привязываться; *микIели илога абажвӣгьи голи* _перен._ дети привязались к бабушке 3) кидаться, набрасываться на _кого-чего-л._; *хвади диге кьIадо аражвари* собаки набросились на меня; _ратл._ *абажулахъе*, _тлян._ *гьажехъе*, _цег._ *жубалахъе*
4	(-ролIи)	аба'хе	a-b-a'-χ-e	отек, вздутие; _ратл._ *абахери*, _тлян._ *ахер*
5	(-а̄'ри, -ва, -айа', -а'йе̄гье, -а̄'ре)	а/б/ахо̄'/рулъIа	a-b-a-χ-oː'-r-u-t͡ɬ-a	_понуд. от_ *абаху'рулъIа*; _ратл._ *абахейтIулахъе*, _тлян._ *ахутIе-хъе*
6	(-ари', -ва, -а', -е̄'гье, -е̄'ре)	а/б/аху'/рулъIа	a-b-a-χ-u'-r-u-t͡ɬ-a	пухнуть, отекать; *рекьIа абахари* рука опухла; *кIегьи арахари* глаза отекли; _цег._ *абахахъе, *_тлян._ *ахехъе; *_ратл._ *абахулахъе*
7	(-ролIи)	аба'шве	a-b-a'-ʃʷ-e	встряска; _ратл._ *абашвери*, _тлян._ *гьабашер*
8	(абашвари', аба-шу'ва, абашва', абашве̄'гье, абашве'ре)	а/б/ашу'рулъIа	a-b-a-ʃ-u'-r-u-t͡ɬ-a	трусить, вытряхивать; выбивать (_пыль_); *къIеᴴлъIема арашурулъIа* вытрусить пустые мешки; *тата абашурулъIа* выбивать пыль; _цег._ *гьобошарахъе, *_тлян._ *гьабашехъе, *_ратл._ *абашулахъе*
9	(-лъ̄илIи / -лIи, /ди)	а'ва	a'-w-a	1) дом, здание; *ава гурулъIа* строить дом 2) этаж; *кьIас̄е ава* верхний этаж; *гекьис̄е ава* нижний этаж; _цег._, _тлян._ *авал*, _ратл._ *авали*
10		ава'да/б/е	a-w-a'-d-a-b-e	 1) веселый, жизнерадостный; *авадабе ракIвалIи аᴴде* жизнерадостный (_букв._ с веселым сердцем) человек; *авадайе акĪа* жизнерадостная, веселая женщина; *авадабе бикIвари зама* веселое было время 2) свободный; *авадабе гIуми* а) веселая жизнь б) свободная жизнь; *авабаде гIумила, гIатIидабе дунал̄а* _пожелание_ свободной, раскованной, счастливой жизни (_букв._ свободной жизни и широкого мира); _ратл._ *авадандаб*,_ тлян., цег. _*аваданаб*
11	(-ролIи)	ава'даᴴлъилайе	a-w-a'-d-ã-ɬ-i-l-a-j-e	жизнерадостность; веселость; *авадаᴴлъила голъIа гIуми* безрадостная (_букв._ веселости не имеющая) жизнь; *ракIвароге гелIи авадаᴴлъила гведа экIва* жизнерадостный человек (_букв._ в душе жизнерадостность имеющий человек); _ратл._ *аваданлъилари*, _тлян._ *аваданлъилер*, _цег._ *аваданлъер*
12	(-ролIи)	ава'далъилайе	a-w-a'-d-a-ɬ-i-l-a-j-e	жизнерадостность; веселость; *авадаᴴлъила голъIа гIуми* безрадостная (_букв._ веселости не имеющая) жизнь; *ракIвароге гелIи авадаᴴлъила гведа экIва* жизнерадостный человек (_букв._ в душе жизнерадостность имеющий человек); _ратл._ *аваданлъилари*, _тлян._ *аваданлъилер*, _цег._ *аваданлъер*
13	(-ари', -ва, -айа', -а'йе̄гье, -а̄'ре)	ава'даᴴлъило̄'/рулъIа	a-w-a'-d-ã-ɬ-i-l-oː'-r-u-t͡ɬ-a	стать жизнерадостным * *
14	(-ари', -ва, -айа', -а'йе̄гье, -а̄'ре)	ава'далъило̄'/рулъIа	a-w-a'-d-a-ɬ-i-l-oː'-r-u-t͡ɬ-a	стать жизнерадостным * *
